iter	RMSE
599	91330.27267
600	91310.15247
601	91278.17305
602	91245.18273
603	91226.68637
604	91191.814
605	91169.74176
606	91154.91702
607	91141.60316
608	91123.75719
609	91103.94163
610	91086.96033
611	91068.64076
612	91026.20341
613	91010.69991
614	90991.09644
615	90970.09148
616	90950.61229
617	90936.17738
618	90915.15756
619	90884.45463
620	90846.57479
621	90822.82818
622	90800.33251
623	90772.90976
624	90755.63872
625	90727.3555
626	90714.06303
627	90691.20094
628	90656.39835
629	90636.68451
630	90612.27462
631	90588.57963
632	90561.17298
633	90539.81004
634	90521.18786
635	90493.04129
636	90470.24622
637	90451.83728
638	90425.84209
639	90398.84816
640	90381.71293
641	90355.21111
642	90335.14588
643	90313.74146
644	90292.31414
645	90268.99524
646	90250.17891
647	90223.61917
648	90200.62992
649	90183.78711
650	90154.3642
651	90132.76876
652	90110.10226
653	90091.46182
654	90073.11006
655	90051.41347
656	90019.99926
657	89984.46455
658	89970.4188
659	89955.58133
660	89947.07104
661	89926.40569
662	89900.03099
663	89873.15386
664	89844.77274
665	89813.5205
666	89789.57114
667	89762.34657
668	89727.65951
669	89712.03246
670	89690.05983
671	89672.70611
672	89646.60533
673	89630.19556
674	89592.46073
675	89565.81452
676	89545.31632
677	89524.22335
678	89507.6121
679	89482.94138
680	89458.63255
681	89426.85837
682	89395.22734
683	89375.91395
684	89363.43525
685	89348.47937
686	89323.97353
687	89307.70558
688	89283.39267
689	89262.81987
690	89248.7028
691	89217.02492
692	89205.20566
693	89192.40823
694	89168.49526
695	89148.08588
696	89126.32999
697	89101.53342
698	89082.63755
699	89048.54443
700	89021.94375
701	88998.13777
702	88979.63582
703	88967.67766
704	88954.85324
705	88935.48101
706	88915.27481
707	88896.49602
708	88868.12783
709	88839.85856
710	88816.45017
711	88792.66104
712	88771.46813
713	88754.22687
714	88731.52578
715	88714.89959
716	88696.60794
717	88668.22656
718	88653.52812
719	88628.91137
720	88603.32253
721	88588.73397
722	88566.50626
723	88545.55223
724	88529.13179
725	88509.04423
726	88485.56141
727	88460.12916
728	88430.87837
729	88407.88541
730	88376.97898
731	88350.20237
732	88329.34145
733	88299.08367
734	88287.27598
735	88266.06457
736	88237.1083
737	88213.73936
738	88189.70319
739	88171.15948
740	88143.12569
741	88118.69705
742	88090.46977
743	88074.10018
744	88056.01512
745	88030.41194
746	88012.20898
747	87998.82062
748	87976.83233
749	87953.02838
750	87925.9893
751	87897.61326
752	87872.28623
753	87851.42379
754	87828.48891
755	87797.48642
756	87769.18641
757	87750.4645
758	87739.66372
759	87716.11698
760	87695.89186
761	87677.88665
762	87651.62977
763	87624.8692
764	87604.48059
765	87584.62368
766	87564.00545
767	87545.31171
768	87522.5676
769	87497.19157
770	87483.50394
771	87472.97718
772	87442.07352
773	87419.79897
774	87406.12385
775	87387.33992
776	87370.44263
777	87349.79283
778	87331.33596
779	87313.81129
780	87300.28339
781	87279.09215
782	87265.36729
783	87248.35677
784	87207.12728
785	87180.23517
786	87158.27788
787	87141.01518
788	87109.90146
789	87088.92164
790	87063.74787
791	87036.84621
792	87023.73366
793	87000.83839
794	86978.89502
795	86945.88853
796	86919.9067
797	86892.00677
798	86882.81467
799	86864.18314
800	86850.60985
801	86832.64187
802	86815.16964
803	86795.21953
804	86772.78444
805	86754.98602
806	86730.9838
807	86710.2433
808	86693.5661
809	86669.99652
810	86651.31593
811	86628.68911
812	86617.47792
813	86601.85499
814	86584.95353
815	86571.02934
816	86551.73465
817	86538.62211
818	86521.93361
819	86489.06492
820	86475.25446
821	86462.47785
822	86438.44975
823	86419.3595
824	86403.34296
825	86376.537
826	86354.16885
827	86338.13594
828	86304.67674
829	86283.43933
830	86272.45838
831	86254.44484
832	86227.36662
833	86208.58444
834	86192.11044
835	86162.42367
836	86134.48133
837	86122.3098
838	86101.56494
839	86078.87163
840	86056.99927
841	86040.4031
842	86015.52254
843	85991.86176
844	85968.7349
845	85957.34151
846	85937.38475
847	85922.39768
848	85902.44085
849	85871.27681
850	85857.35313
851	85833.94316
852	85798.1632
853	85782.74388
854	85758.35932
855	85740.82554
856	85716.23305
857	85687.60314
858	85661.40172
859	85649.03159
860	85633.09828
861	85613.41766
862	85596.51224
863	85574.5015
864	85553.50075
865	85524.07651
866	85508.21137
867	85496.10135
868	85474.21783
869	85457.67952
870	85442.12654
871	85420.47242
872	85395.15884
873	85369.81317
874	85354.27237
875	85337.89159
876	85317.56709
877	85297.97814
878	85288.85229
879	85261.7385
880	85252.77178
881	85237.81216
882	85222.04671
883	85210.09353
884	85200.04121
885	85185.54971
886	85170.89746
887	85139.44073
888	85116.60558
889	85108.14649
890	85080.44742
891	85054.02535
892	85040.97907
893	85027.53987
894	85006.66749
895	84981.14876
896	84961.01472
897	84947.1407
898	84929.16729
899	84909.49374
900	84894.67884
901	84872.45828
902	84852.70349
903	84835.26049
904	84812.93745
905	84804.08383
906	84788.68072
907	84759.04983
908	84737.64934
909	84717.97929
910	84699.22279
911	84680.76721
912	84663.66224
913	84649.96832
914	84631.57456
915	84609.06254
916	84585.95365
917	84568.70202
918	84556.7914
919	84526.64685
920	84509.69525
921	84475.76899
922	84452.11143
923	84434.90039
924	84422.41796
925	84402.75222
926	84391.43868
927	84363.12385
928	84347.80601
929	84337.67912
930	84322.15488
931	84310.16189
932	84294.96716
933	84276.53492
934	84263.82911
935	84255.91319
936	84241.80083
937	84227.82112
